learnum_pods,num_clients,avg_speed,cpu_m,mem_Mi,net_rx_KBps,net_tx_KBps,avg_latency_s,z1_bit,z2_bit,z3_bit,qt_sw_z1,qt_sw_z2,qt_sw_z3,total_stall,start_time,QoE
6,16,40,81,25,38,1617,0.03849287544907841,149508763.83608025,10608106871.408382,63987118484.57861,1.0,1.0,1.0,17.1339350625,0.0001375,8624989282.748283
6,16,50,33,25,22,1240,0.04473452742525215,112326216.47539178,7773654094.853668,45086046478.57654,1.0,1.0,1.0,15.54706825,5.974999999999999e-05,6141963750.508512
6,16,60,0,25,28,1425,0.04127915226900677,98796037.80193652,7435316114.016566,44034142768.450905,1.0,1.0,1.0,13.056664000000001,0.00019212500000000005,5959634668.965279
6,16,70,46,25,31,1880,0.03897719596668551,68068504.71078174,5531225002.913545,38268733988.692604,1.0,1.0,1.0,10.6422458125,9.581250000000002e-05,4980766305.987448
6,16,80,27,25,34,2202,0.0355068713637864,93296346.01570624,7159175866.080414,40799844069.85723,1.0,1.0,1.0,7.5752588124999996,6.337499999999998e-05,5577126988.838916
6,16,90,0,25,0,0,0.03842764485272396,107252925.68673712,4457667249.658039,32886997922.71259,1.0,1.0,1.0,7.7446304999999995,8.081249999999999e-05,4255310255.881325
6,16,100,0,25,0,0,0.03737017045224379,61626967.06758863,4505234973.047774,28414959322.414562,1.0,1.0,1.0,6.747625749999999,0.00017706250000000003,3785681773.782772
6,16,110,0,25,0,0,0.039151500253934435,36958636.236192316,3499690292.5762625,21555115720.21684,1.0,1.0,1.0,6.183698,6.55625e-05,2881320648.312087
6,16,120,0,25,0,0,0.040424054134631286,56608892.287051246,3826456749.133716,22074377806.44254,1.0,1.0,1.0,6.3684905625,5.8749999999999985e-05,3012355326.6871715
6,17,10,55,25,47,1854,0.04210158517924614,433433836.24773073,35842332130.093185,226859226381.32346,1.0,1.0,1.0,73.47771929411766,5.8764705882352924e-05,30157792432.569954
